"","teamID","yearID","lgID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","Playoff","BA","OBP","SLG","OPS","Diff","Salary"
"34","ATL",2002,"NL","ATL","E",1,161,81,101,59,"Y","N","N","N",708,5495,1428,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.982,"Atlanta Braves","Turner Field",2603484,102,101,"ATL","ATL","ATL","1",0.259872611464968,0.331384015594542,0.409463148316651,0.740847163911193,143,92870367
"35","ATL",2003,"NL","ATL","E",1,162,81,101,61,"Y","N","N","N",907,5670,1608,321,31,235,545,933,68,22,49,49,740,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.981,"Atlanta Braves","Turner Field",2401084,101,100,"ATL","ATL","ATL","1",0.283597883597884,0.348804055124347,0.475485008818342,0.824289063942689,167,106243667
"36","ATL",2004,"NL","ATL","E",1,162,81,96,66,"Y","N","N","N",803,5570,1503,304,37,178,587,1158,86,32,59,48,668,603,3.74,4,13,48,4350,1475,154,523,1025,116,171,0.981,"Atlanta Braves","Turner Field",2327565,101,100,"ATL","ATL","ATL","1",0.26983842010772,0.343071519795658,0.433572710951526,0.776644230747184,135,90182500
"37","ATL",2005,"NL","ATL","E",1,162,81,90,72,"Y","N","N","N",769,5486,1453,308,37,184,534,1084,92,32,45,46,674,639,3.98,8,12,38,4331,1487,145,520,929,86,170,0.986,"Atlanta Braves","Turner Field",2521167,101,100,"ATL","ATL","ATL","1",0.264855997083485,0.332515136638848,0.435107546481954,0.767622683120802,95,86457302
"38","ATL",2006,"NL","ATL","E",3,162,81,79,83,"N","N","N","N",849,5583,1510,312,26,222,526,1169,52,35,52,44,805,736,4.6,6,6,38,4324,1529,183,572,1049,99,146,0.984,"Atlanta Braves","Turner Field",2550524,100,99,"ATL","ATL","ATL","0",0.270463908293032,0.336502820306205,0.45495253447967,0.791455354785875,44,90156876
"39","ATL",2007,"NL","ATL","E",3,162,81,84,78,"N","N","N","N",810,5689,1562,328,27,176,534,1149,64,30,49,47,733,665,4.11,1,6,36,4369,1442,172,537,1106,107,141,0.983,"Atlanta Braves","Turner Field",2745207,98,98,"ATL","ATL","ATL","0",0.274564949903322,0.339452445007121,0.434522763227281,0.773975208234402,77,87290833
"40","ATL",2008,"NL","ATL","E",4,162,81,72,90,"N","N","N","N",753,5604,1514,316,33,130,618,1023,58,27,42,34,778,714,4.46,2,7,26,4322,1439,156,586,1076,107,149,0.983,"Atlanta Braves","Turner Field",2532834,98,98,"ATL","ATL","ATL","0",0.270164168451106,0.345188948872658,0.407922912205567,0.753111861078225,-25,102365683
"41","ATL",2009,"NL","ATL","E",3,162,81,86,76,"N","N","N","N",735,5539,1459,300,20,149,602,1064,58,26,52,47,641,581,3.57,3,10,38,4388,1399,119,530,1232,96,159,0.985,"Atlanta Braves","Turner Field",2373631,99,98,"ATL","ATL","ATL","0",0.263404946741289,0.338621794871795,0.40548835529879,0.744110150170585,94,96726166
"42","ATL",2010,"NL","ATL","E",2,162,81,91,71,"N","Y","N","N",738,5463,1411,312,25,139,634,1140,63,29,51,35,629,569,3.56,2,9,41,4318,1326,126,505,1241,126,166,0.98,"Atlanta Braves","Turner Field",2510119,98,97,"ATL","ATL","ATL","1",0.258282994691561,0.338994015849911,0.400878638110928,0.739872653960839,109,84423666
"43","ATL",2011,"NL","ATL","E",2,162,81,89,73,"N","N","N","N",641,5528,1345,244,16,173,504,1260,77,44,28,30,605,572,3.48,3,16,52,4439,1332,125,521,1332,83,131,0.987,"Atlanta Braves","Turner Field",2372940,98,98,"ATL","ATL","ATL","0",0.243306801736614,0.308210180623974,0.38712011577424,0.695330296398214,36,87002692
